subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0010309	intellectual disability, X-linked 42	skos:exactMatch	DOID:0112057	non-syndromic X-linked intellectual disability 42	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx42	LEXMATCH
MONDO:0010309	intellectual disability, X-linked 42	skos:exactMatch	DOID:0112057	non-syndromic X-linked intellectual disability 42	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300372	LEXMATCH
MONDO:0010313	intellectual disability, X-linked 63	skos:exactMatch	DOID:0112050	non-syndromic X-linked intellectual disability 63	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300387	LEXMATCH
MONDO:0010317	intellectual disability, X-linked, with or without seizures, arx-related	skos:exactMatch	DOID:0112021	non-syndromic X-linked intellectual disability ARX-related	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300419	LEXMATCH
MONDO:0010322	intellectual disability, X-linked 2	skos:exactMatch	DOID:0112016	non-syndromic X-linked intellectual disability 2	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300428	LEXMATCH
MONDO:0010322	intellectual disability, X-linked 2	skos:exactMatch	DOID:0112016	non-syndromic X-linked intellectual disability 2	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx2	LEXMATCH
MONDO:0010324	intellectual disability, X-linked 81	skos:exactMatch	DOID:0112033	non-syndromic X-linked intellectual disability 81	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300433	LEXMATCH
MONDO:0010324	intellectual disability, X-linked 81	skos:exactMatch	DOID:0112033	non-syndromic X-linked intellectual disability 81	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx81	LEXMATCH
MONDO:0010325	X-linked intellectual disability, Stocco dos Santos type	skos:exactMatch	DOID:0112126	Stocco Dos Santos type X-linked intellectual disability	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300434	LEXMATCH
MONDO:0010326	intellectual disability, X-linked 46	skos:exactMatch	DOID:0112055	non-syndromic X-linked intellectual disability 46	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300436	LEXMATCH
MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	skos:exactMatch	DOID:0112125	alpha-thalassemia myelodysplasia syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	acquired hbh disease	LEXMATCH
