mondo_id	subset	omim_id
MONDO:0012771	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611960
MONDO:0012793	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612076
MONDO:0012801	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612100
MONDO:0012820	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612229
MONDO:0012831	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612244
MONDO:0012832	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612245
MONDO:0012834	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612251
MONDO:0012835	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612253
MONDO:0012840	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612261
MONDO:0012843	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612269
MONDO:0012845	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612278
MONDO:0012865	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612318
MONDO:0012881	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612371
MONDO:0012888	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612387
MONDO:0012893	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612400
MONDO:0012921	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612522
MONDO:0012931	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612551
MONDO:0012933	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612555
MONDO:0012953	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612591
MONDO:0012962	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612623
MONDO:0012963	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612624
MONDO:0012966	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612628
MONDO:0012969	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612633
MONDO:0012970	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612634
MONDO:0013000	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612740
MONDO:0013032	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612899
MONDO:0013040	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612922
MONDO:0013041	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612923
MONDO:0013042	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612924
MONDO:0013043	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612925
MONDO:0013044	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612926
MONDO:0013063	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:612956
MONDO:0013076	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613003
MONDO:0013083	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613014
MONDO:0013092	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613028
MONDO:0013093	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613029
MONDO:0013096	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613032
MONDO:0013100	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613055
MONDO:0013103	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613060
MONDO:0013133	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613099
MONDO:0013185	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613223
MONDO:0013193	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613239
MONDO:0013199	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613254
MONDO:0013224	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613325
