subject_id	subject_label	is_mapped	is_excluded	is_deprecated
NCIT:C115154	Adult Nasal Type Extranodal NK/T-Cell Lymphoma	False	False	False
NCIT:C115192	Childhood Ependymal Tumor	False	False	False
NCIT:C115195	Childhood Mixed Glioma	False	False	False
NCIT:C115196	Childhood Pineal Parenchymal Cell Neoplasm	False	False	False
NCIT:C115201	Childhood Cerebellar Anaplastic Astrocytoma	False	False	False
NCIT:C115202	Childhood Cerebral Anaplastic Astrocytoma	False	False	False
NCIT:C115203	Childhood Embryonal Tumor with Multilayered Rosettes, C19MC-Altered	False	False	False
NCIT:C115204	Childhood Grade III Lymphomatoid Granulomatosis	False	False	False
NCIT:C115210	Distal Urethral Carcinoma	False	False	False
NCIT:C115211	Familial Testicular Germ Cell Tumor	False	False	False
NCIT:C115212	Familial Waldenstrom Macroglobulinemia	False	False	False
NCIT:C115225	Hereditary Neuroblastoma	False	False	False
NCIT:C115245	Metastatic Digestive System Neuroendocrine Tumor G1	False	False	False
NCIT:C115250	Adult Mixed Glioma	False	False	False
NCIT:C115253	Adult Central Nervous System Melanocytic Neoplasm	False	False	False
NCIT:C115263	Adult Myxopapillary Ependymoma	False	False	False
NCIT:C115292	Localized Childhood Soft Tissue Sarcoma	False	False	False
NCIT:C115327	Adult Pineal Gland Astrocytoma	False	False	False
NCIT:C115334	Proximal Urethral Carcinoma	False	False	False
NCIT:C115349	Recurrent Adult Grade III Lymphomatoid Granulomatosis	False	False	False
NCIT:C115351	Recurrent Adult Undifferentiated High Grade Pleomorphic Sarcoma of Bone	False	False	False
NCIT:C115352	Recurrent Borderline Ovarian Surface Epithelial-Stromal Tumor	False	False	False
NCIT:C115356	Recurrent Childhood Anaplastic Astrocytoma	False	False	False
NCIT:C115357	Recurrent Childhood Anaplastic Large Cell Lymphoma	False	False	False
NCIT:C115358	Recurrent Childhood Anaplastic Oligoastrocytoma	False	False	False
NCIT:C115359	Recurrent Childhood Anaplastic Oligodendroglioma	False	False	False
NCIT:C115360	Recurrent Childhood Diffuse Astrocytoma	False	False	False
NCIT:C115361	Recurrent Childhood Fibrillary Astrocytoma	False	False	False
NCIT:C115362	Recurrent Childhood Gemistocytic Astrocytoma	False	False	False
NCIT:C115363	Recurrent Childhood Giant Cell Glioblastoma	False	False	False
NCIT:C115364	Recurrent Childhood Glioblastoma	False	False	False
NCIT:C115365	Recurrent Childhood Gliosarcoma	False	False	False
NCIT:C115366	Recurrent Childhood Gliomatosis Cerebri	False	False	False
NCIT:C115367	Recurrent Childhood Grade III Lymphomatoid Granulomatosis	False	False	False
NCIT:C115368	Recurrent Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone	False	False	False
NCIT:C115369	Recurrent Childhood Non-Hodgkin Lymphoma	False	False	False
NCIT:C115370	Recurrent Childhood Oligoastrocytoma	False	False	False
