term_id	exclusion_reason
icd11.foundation:101948871	MONDO:excludeNonDisease
icd11.foundation:1019534522	MONDO:excludeNonDisease
icd11.foundation:1019756364	MONDO:excludeNonDisease
icd11.foundation:101976157	MONDO:excludeNonDisease
icd11.foundation:1019767807	MONDO:excludeNonDisease
icd11.foundation:1019773411	MONDO:excludeNonDisease
icd11.foundation:1019822586	MONDO:excludeNonDisease
icd11.foundation:10198740	MONDO:excludeNonDisease
icd11.foundation:1019962841	MONDO:excludeNonDisease
icd11.foundation:1020055329	MONDO:excludeNonDisease
icd11.foundation:1020079694	MONDO:excludeNonDisease
icd11.foundation:1020085490	MONDO:excludeNonDisease
icd11.foundation:1020122119	MONDO:excludeNonDisease
icd11.foundation:1020150842	MONDO:excludeNonDisease
icd11.foundation:1020175583	MONDO:excludeNonDisease
icd11.foundation:1020277744	MONDO:excludeNonDisease
icd11.foundation:1020297505	MONDO:excludeNonDisease
icd11.foundation:1020383355	MONDO:excludeNonDisease
icd11.foundation:1020474580	MONDO:excludeNonDisease
icd11.foundation:1020479083	MONDO:excludeNonDisease
icd11.foundation:1020539111	MONDO:excludeNonDisease
icd11.foundation:1020599235	MONDO:excludeNonDisease
icd11.foundation:1020612752	MONDO:excludeNonDisease
icd11.foundation:1020618754	MONDO:excludeNonDisease
icd11.foundation:1020808415	MONDO:excludeNonDisease
icd11.foundation:1020867795	MONDO:excludeNonDisease
icd11.foundation:1020875732	MONDO:excludeNonDisease
icd11.foundation:1020944696	MONDO:excludeNonDisease
icd11.foundation:1021147668	MONDO:excludeNonDisease
icd11.foundation:10211717	MONDO:excludeNonDisease
icd11.foundation:1021275027	MONDO:excludeNonDisease
icd11.foundation:1021285759	MONDO:excludeNonDisease
icd11.foundation:1021360897	MONDO:excludeNonDisease
icd11.foundation:102137256	MONDO:excludeNonDisease
icd11.foundation:1021414824	MONDO:excludeNonDisease
icd11.foundation:1021506207	MONDO:excludeNonDisease
icd11.foundation:1021576736	MONDO:excludeNonDisease
icd11.foundation:1021697063	MONDO:excludeNonDisease
icd11.foundation:1021715372	MONDO:excludeNonDisease
icd11.foundation:1021739787	MONDO:excludeNonDisease
icd11.foundation:1021768261	MONDO:excludeNonDisease
icd11.foundation:1021810249	MONDO:excludeNonDisease
icd11.foundation:1021832222	MONDO:excludeNonDisease
icd11.foundation:1021870293	MONDO:excludeNonDisease
icd11.foundation:1021942958	MONDO:excludeNonDisease
icd11.foundation:1021997417	MONDO:excludeNonDisease
icd11.foundation:1022125470	MONDO:excludeNonDisease
icd11.foundation:1022227007	MONDO:excludeNonDisease
icd11.foundation:1022256477	MONDO:excludeNonDisease
icd11.foundation:102231510	MONDO:excludeNonDisease
icd11.foundation:1022365058	MONDO:excludeNonDisease
icd11.foundation:1022481825	MONDO:excludeNonDisease
icd11.foundation:1022567386	MONDO:excludeNonDisease
icd11.foundation:1022588333	MONDO:excludeNonDisease
icd11.foundation:1022628020	MONDO:excludeNonDisease
icd11.foundation:1022634368	MONDO:excludeNonDisease
icd11.foundation:1022749366	MONDO:excludeNonDisease
icd11.foundation:1022823883	MONDO:excludeNonDisease
icd11.foundation:1022904417	MONDO:excludeNonDisease
icd11.foundation:1023052895	MONDO:excludeNonDisease
icd11.foundation:1023170861	MONDO:excludeNonDisease
icd11.foundation:1023215149	MONDO:excludeNonDisease
icd11.foundation:102334248	MONDO:excludeNonDisease
icd11.foundation:1023475530	MONDO:excludeNonDisease
icd11.foundation:1023494936	MONDO:excludeNonDisease
icd11.foundation:1023560637	MONDO:excludeNonDisease
icd11.foundation:1023633292	MONDO:excludeNonDisease
icd11.foundation:1023651959	MONDO:excludeNonDisease
icd11.foundation:1023682425	MONDO:excludeNonDisease
icd11.foundation:1023689641	MONDO:excludeNonDisease
icd11.foundation:1023840516	MONDO:excludeNonDisease
icd11.foundation:1023852132	MONDO:excludeNonDisease
icd11.foundation:1023940358	MONDO:excludeNonDisease
icd11.foundation:102399399	MONDO:excludeNonDisease
icd11.foundation:10241378	MONDO:excludeNonDisease
icd11.foundation:1024193030	MONDO:excludeNonDisease
icd11.foundation:1024254447	MONDO:excludeNonDisease
icd11.foundation:1024293235	MONDO:excludeNonDisease
icd11.foundation:1024337887	MONDO:excludeNonDisease
icd11.foundation:1024453932	MONDO:excludeNonDisease
icd11.foundation:1024578755	MONDO:excludeNonDisease
icd11.foundation:1024592722	MONDO:excludeNonDisease
icd11.foundation:1024640576	MONDO:excludeNonDisease
icd11.foundation:1024680458	MONDO:excludeNonDisease
icd11.foundation:1024696887	MONDO:excludeNonDisease
icd11.foundation:1024762496	MONDO:excludeNonDisease
icd11.foundation:1024856660	MONDO:excludeNonDisease
icd11.foundation:1024890131	MONDO:excludeNonDisease
icd11.foundation:102490679	MONDO:excludeNonDisease
icd11.foundation:1024987101	MONDO:excludeNonDisease
icd11.foundation:1025049113	MONDO:excludeNonDisease
icd11.foundation:1025066612	MONDO:excludeNonDisease
icd11.foundation:1025087567	MONDO:excludeNonDisease
icd11.foundation:1025491399	MONDO:excludeNonDisease
icd11.foundation:1025591840	MONDO:excludeNonDisease
icd11.foundation:1025683688	MONDO:excludeNonDisease
icd11.foundation:1025695619	MONDO:excludeNonDisease
icd11.foundation:102571163	MONDO:excludeNonDisease
icd11.foundation:1025777620	MONDO:excludeNonDisease
icd11.foundation:1025805050	MONDO:excludeNonDisease
icd11.foundation:1025807885	MONDO:excludeNonDisease
icd11.foundation:1025918432	MONDO:excludeNonDisease
icd11.foundation:1025929080	MONDO:excludeNonDisease
icd11.foundation:1025950511	MONDO:excludeNonDisease
icd11.foundation:1025971954	MONDO:excludeNonDisease
icd11.foundation:1025995533	MONDO:excludeNonDisease
icd11.foundation:1026023686	MONDO:excludeNonDisease
icd11.foundation:1026096812	MONDO:excludeNonDisease
icd11.foundation:1026218484	MONDO:excludeNonDisease
icd11.foundation:1026261221	MONDO:excludeNonDisease
icd11.foundation:1026278474	MONDO:excludeNonDisease
icd11.foundation:1026313092	MONDO:excludeNonDisease
icd11.foundation:1026411068	MONDO:excludeNonDisease
icd11.foundation:1026559636	MONDO:excludeNonDisease
icd11.foundation:1026628538	MONDO:excludeNonDisease
icd11.foundation:1026680866	MONDO:excludeNonDisease
icd11.foundation:1026719190	MONDO:excludeNonDisease
icd11.foundation:1026800841	MONDO:excludeNonDisease
icd11.foundation:1026806512	MONDO:excludeNonDisease
icd11.foundation:1026904940	MONDO:excludeNonDisease
icd11.foundation:1026923052	MONDO:excludeNonDisease
icd11.foundation:1026961600	MONDO:excludeNonDisease
icd11.foundation:1027092299	MONDO:excludeNonDisease
icd11.foundation:1027276561	MONDO:excludeNonDisease
icd11.foundation:1027553794	MONDO:excludeNonDisease
icd11.foundation:1027619728	MONDO:excludeNonDisease
icd11.foundation:1027724387	MONDO:excludeNonDisease
icd11.foundation:1027843327	MONDO:excludeNonDisease
