subject_id	subject_label
ICD10CM:S20.412S	Abrasion of left back wall of thorax, sequela
ICD10CM:S20.412D	Abrasion of left back wall of thorax, subsequent encounter
ICD10CM:S00.412	Abrasion of left ear
ICD10CM:S00.412A	Abrasion of left ear, initial encounter
ICD10CM:S00.412S	Abrasion of left ear, sequela
ICD10CM:S00.412D	Abrasion of left ear, subsequent encounter
ICD10CM:S50.312	Abrasion of left elbow
ICD10CM:S50.312A	Abrasion of left elbow, initial encounter
ICD10CM:S50.312S	Abrasion of left elbow, sequela
ICD10CM:S50.312D	Abrasion of left elbow, subsequent encounter
ICD10CM:S00.212	Abrasion of left eyelid and periocular area
ICD10CM:S00.212A	Abrasion of left eyelid and periocular area, initial encounter
ICD10CM:S00.212S	Abrasion of left eyelid and periocular area, sequela
ICD10CM:S00.212D	Abrasion of left eyelid and periocular area, subsequent encounter
ICD10CM:S50.812	Abrasion of left forearm
ICD10CM:S50.812A	Abrasion of left forearm, initial encounter
ICD10CM:S50.812S	Abrasion of left forearm, sequela
ICD10CM:S50.812D	Abrasion of left forearm, subsequent encounter
ICD10CM:S20.312	Abrasion of left front wall of thorax
ICD10CM:S20.312A	Abrasion of left front wall of thorax, initial encounter
ICD10CM:S20.312S	Abrasion of left front wall of thorax, sequela
ICD10CM:S20.312D	Abrasion of left front wall of thorax, subsequent encounter
ICD10CM:S60.512	Abrasion of left hand
ICD10CM:S60.512A	Abrasion of left hand, initial encounter
ICD10CM:S60.512S	Abrasion of left hand, sequela
ICD10CM:S60.512D	Abrasion of left hand, subsequent encounter
ICD10CM:S60.411	Abrasion of left index finger
ICD10CM:S60.411A	Abrasion of left index finger, initial encounter
ICD10CM:S60.411S	Abrasion of left index finger, sequela
ICD10CM:S60.411D	Abrasion of left index finger, subsequent encounter
ICD10CM:S60.417	Abrasion of left little finger
ICD10CM:S60.417A	Abrasion of left little finger, initial encounter
ICD10CM:S60.417S	Abrasion of left little finger, sequela
ICD10CM:S60.417D	Abrasion of left little finger, subsequent encounter
ICD10CM:S60.413	Abrasion of left middle finger
ICD10CM:S60.413A	Abrasion of left middle finger, initial encounter
ICD10CM:S60.413S	Abrasion of left middle finger, sequela
ICD10CM:S60.413D	Abrasion of left middle finger, subsequent encounter
ICD10CM:S60.415	Abrasion of left ring finger
ICD10CM:S60.415A	Abrasion of left ring finger, initial encounter
ICD10CM:S60.415S	Abrasion of left ring finger, sequela
ICD10CM:S60.415D	Abrasion of left ring finger, subsequent encounter
ICD10CM:S40.212	Abrasion of left shoulder
ICD10CM:S40.212A	Abrasion of left shoulder, initial encounter
ICD10CM:S40.212S	Abrasion of left shoulder, sequela
ICD10CM:S40.212D	Abrasion of left shoulder, subsequent encounter
ICD10CM:S60.312	Abrasion of left thumb
ICD10CM:S60.312A	Abrasion of left thumb, initial encounter
ICD10CM:S60.312S	Abrasion of left thumb, sequela
ICD10CM:S60.312D	Abrasion of left thumb, subsequent encounter
ICD10CM:S40.812	Abrasion of left upper arm
ICD10CM:S40.812A	Abrasion of left upper arm, initial encounter
ICD10CM:S40.812S	Abrasion of left upper arm, sequela
ICD10CM:S40.812D	Abrasion of left upper arm, subsequent encounter
ICD10CM:S60.812	Abrasion of left wrist
ICD10CM:S60.812A	Abrasion of left wrist, initial encounter
